Numéros	Dates	Heures	Lieux	Dept ou pays	Cotes archives du dossier	Détails sommaires de l'observation	Média	Consultation
51	1995,07,18	22:55:00	Paris (75)	75	950718	forme triangulaire et cylindrique lumineux blanc	 	Base ARCADIA
52	1995,08,04	01:15:00	Fauville (27)	27	950804	Boule jaune rouge scitillante	 	Base ARCADIA
53	1995,09,00	21:30:00	Gasny (27)	27	950900	Sphère lumineuse audessus d'un site militaire, depart en dent de scie	 	Base ARCADIA
54	1996,02,25	20:45:00	Paris (75)	75	960225	Ovale lumineux vert, taille estimée 400m de long	 	Base ARCADIA
55	1996,04,12	20:42:00	Châteu du Loir (72)	72	960312	triangle plat sombre delimité par 3 feu rouge à chaque angle	 	Base ARCADIA
56	1996,09,21	00:00:00	La Roche Guyon (95)	95	960921	sphères idem au 06 et 09,10,1994	 	Base ARCADIA
57	1996,10,22	14:05:00	Dept 27	27	961022	Détonation entendu dans un perimetre de 60km	 	Base ARCADIA
58	1996,11,21	 	Mont Parmelan	74	961121	Crash probable inexpliqué	 	Base ARCADIA
59	1997,04,16	19:00:00	Chartres	28	970416	Boule lumineuse stationnaire	 	Base ARCADIA
60	1997,05,02	23:30:00	Richefort	86	970502	Cigare avec 5 moteurs + 2 boules rouges, dep par accoup	 	Base ARCADIA
61	1997,05,13	01:30:00	La Vaudreuil	27	970513	Boule lumineuse en arrivée rapide, arrêt brutal, diparition vers la Grande Ourse	 	Base ARCADIA
62	1997,06,19	00:06:00	St Laurent du Medoc	33	970619	Triangle avec feux rouge et vert disparition soudaine	 	Base ARCADIA
63	1997,07,00	 	Bouzonville	57	970700	phènomène aérien sans autre détails	 	Base ARCADIA
64	1997,08,04	02:20:00	Spicheren	57	970804	Segment de droite qui vertical lumineux blanc en déplacement horizontal lent	 	Base ARCADIA
65	1997,09,21	16:15:00	Mt St Aignan	76	970921	Cigare structure d'aspect acier inoxidable + boule brillante	 	Base ARCADIA
66	1997,10,01	21:45:00	Grandvilliers	60	971001	Sphère rapide, transformation en disque, zig-zig entre 3 avions	 	Base ARCADIA
67	1998,01,07	02:15:00	Montaire (Creil)	60	970107	Disque de couleur vert, statonnaires, mouvement erratique	 	Base ARCADIA
68	1998,02,15	22:00:00	Evreux	27	980215	1 puis 3 sphères orangées au dessus de la BA 105 , changement de dimention continuelle	 	Base ARCADIA
69	1998,02,28	21:00:00	D11 Clayes sous bois	78	980228	2 boules vertes en survole rapide au-dessus d'un voiture roulant sur la D11	 	Base ARCADIA
70	1998,04,15	22:30:00	Caen	14	980415	Triangle avec des lueurs orange/multiple manoeuvres acrobatique	 	Base ARCADIA
71	1998,05,13	11:05:00	Mauves sur Huisne	61	980513	Sphère, texture semblable au ciel, vol rectiligne rapide	 	Base ARCADIA
72	1998,06,25	 	Montpezat	 	980625	6 lumières orange en V - email Joseph Trainor (Ufo rundup)	photos	Base ARCADIA
73	1998,06,30	18:30:00	St Aubin les Elbeuf	76	980630	2 boules blanches/jaunâtres stationnaires pendant 2min, disparition soudaine	 	Base ARCADIA
74	1998,07,12	23:55:00	Montigny/Corbigny	58	980712	lueur blanche ronde fixe, verticale puis horizontal	 	Base ARCADIA
75	1998,07,24	22:00:00	Bouville	76	980724	1 boule rouge stationnaire pendant 1min	 	Base ARCADIA
76	1998,08,05	22:45:00	Sotteville	76	980805	1 boule rouge, stationnaire, ressemblant à une mongolfière	 	Base ARCADIA
